Oracle DB Column,FBDI Column Name,Tech Comments,Data Type,Max Length,Field Description,Legacy Table Name,Legacy Column Name,Legacy Field Description,Mapping Logic,Confidence Score
SUB_TYPE,Sub Type,Sample: Old Item Number Alf,VARCHAR2,100,"Indicates the relationship subtype. Review the value for this attribute using the Manage Standard Lookups task in the Setup and Maintenance work area.
For RELATED_ITEM, a list of accepted values is defined in the EGP_RELATIONSHIP_TYPES lookup type.
For GTIN_XREF, a list of accepted values is defined in the EGP_GTIN_PARTY_TYPES lookup type.
For ITEM_XREF, a list of accepted values is defined in the EGP_ITEM_XREF_TYPES lookup type. 
For COMPETITOR_ITEM_XREF, a list of accepted values is defined in the EGP_COMPETITOR_ITEM_XREF lookup type.",,,,,
CROSS_REFERENCE,Cross Reference,Sample: Old reference 101,VARCHAR2,1020,Indicates the GTIN number. Its applicable for GTIN_XREF.,,,,,
ORG_INDEPENDENT_FLAG,Org Independent Flag,Sample: Y,VARCHAR2,4,"Indicates whether the relationship is applicable to all orgs. Applicable values are Y, N.",,,,,
EPC_GTIN_SERIAL,EPC GTIN Serial,Sample: 00001230456,NUMBER,18,Indicates the EPC GTIN Serial Number. Applicable for GTIN_XREF.,,,,,
START_DATE_ACTIVE,Start Date Active,01/01/2025,DATE,,Start date of the related item relationship.,,,,,
TRADING_PARTNER_ID,Trading Partner Number,Sample: 34560,VARCHAR2,30,"Indicates the trading partner number associated with the relationship. For GTIN_XREF, it can be Customer Number, Manufacturer Number or Supplier Number. For MFG_PART_NUM, this indicates the MPN Number. For COMPETITOR_ITEM_XREF, this indicates the Competitor Item Number. For CUSTOMER_ITEM_XREF, this indicates the Customer Item Number.",,,,,
UOM_CODE,Unit of Measure,Sample: BOX,VARCHAR2,25,Indicates the GTIN Unit of Measure. Applicable for GTIN_XREF.,,,,,
ITEM_NUMBER,Item Number,Sample: test_item_01,VARCHAR2,300,Unique number associated with the item.,,,,,
ORGANIZATION_CODE,Organization Code,Sample: INV_ORG_01,VARCHAR2,18,Code that identifies the organization. Review and update the value for this attribute using the Manage Inventory Organizations task in the Setup and Maintenance work area.,,,,,
CATEGORY_SET_NAME,Catalog,Sample: SOP Catalog,VARCHAR2,30,Value that identifies the name of the catalog. Review and update the value for this attribute using the Manage Catalog task in the Setup and Maintenance work area.,,,,,
CATEGORY_NAME,Category Name,Sample: Beverages,VARCHAR2,250,Value that identifies the name of the category. Review and update the value for this attribute using the Manage Catalog task in the Setup and Maintenance work area.,,,,,
ORGANIZATION_CODE,Organization Code,Sample: INV_ORG_1,VARCHAR2,18,Code that identifies the organization. Review and update the value for this attribute using the Manage Inventory Organizations task in the Setup and Maintenance work area.,,,,,
CONTEXT_CODE,Attribute Group Code,Sample: Paperboard,VARCHAR2,80,Indicates the internal code of the attribute group name.Review the value for this attribute using the Manage Item Attribute Groups task in the Setup and Maintenance work area.,,,,,
TP_ITEM_NUMBER,Trading Partner Item Number,Sample: TRI_5005,VARCHAR2,150,Unique number associated with the trading partner item.,,,,,
TP_TYPE,Trading Partner Type,Sample: CUSTOMER,VARCHAR2,30,"This indicates the trading partner type. Review the value for this attribute using the Manage Standard Lookups task in the Setup and Maintenance work area. The look up  is EGP_TP_TYPES. The values are MANUFACTURER, COMPETITOR, or CUSTOMER.",,,,,
TRADING_PARTNER_ID,Trading Partner Number,Sample: 5005,VARCHAR2,30,Indicates the trading partner number.,,,,,
START_DATE,Start Date,Sample: 2025/01/01,DATE,,Start date of the trading partner relationship,,,,,
CATEGORY_NAME,Attachment Category,Sample: TO_SUPPLIER,VARCHAR2,255,Attachment category,,,,,
